Iterations,Accuracy,TER,Precision,Recall,F1
1,0.3586141583142609,0.6413858416857391,0.15325919211821923,0.3586141583142609,0.2104065954660993
2,0.36398074342987924,0.6360192565701208,0.3460897230781904,0.36398074342987924,0.2507411521060191
3,0.47478494199352855,0.5252150580064714,0.4238058626549395,0.47478494199352855,0.4008473480071475
4,0.5045379212374714,0.49546207876252857,0.4128820189185918,0.5045379212374714,0.4402324040349772
5,0.5372109541472654,0.4627890458527346,0.538120111240161,0.5372109541472654,0.5156095441340576
6,0.587562149790861,0.41243785020913903,0.5778693079583559,0.587562149790861,0.5595264753005099
7,0.6349932917686055,0.36500670823139447,0.6324006776820547,0.6349932917686055,0.6248951544674078
8,0.6634835451029911,0.3365164548970089,0.6704940056997029,0.6634835451029911,0.6533156120449352
9,0.6836082392865599,0.3163917607134401,0.6966713426303984,0.6836082392865599,0.6791245413238503
10,0.7215689369426249,0.2784310630573751,0.7198924511669109,0.7215689369426249,0.717513994146217
11,0.7359324441638387,0.26406755583616126,0.7427294637377816,0.7359324441638387,0.7332250706322498
12,0.7618183253097625,0.23818167469023754,0.7581310517281248,0.7618183253097625,0.7547189046528675
13,0.7739720621892511,0.22602793781074892,0.7908618574127344,0.7739720621892511,0.7771298147131765
14,0.7931497119406519,0.20685028805934813,0.796646161332785,0.7931497119406519,0.791535932706152
15,0.8083813432246862,0.19161865677531376,0.8112981106934452,0.8083813432246862,0.8077182211231279
16,0.8204561597348276,0.17954384026517245,0.8355200724894916,0.8204561597348276,0.8167363707039174
17,0.8390024465314497,0.16099755346855027,0.8424146977783904,0.8390024465314497,0.8376234651758502
18,0.8513929445189804,0.1486070554810196,0.8561565122393925,0.8513929445189804,0.8515647328009479
19,0.8667034961723621,0.1332965038276379,0.8689205316541803,0.8667034961723621,0.8662825313085101
20,0.8816983663483545,0.11830163365164548,0.8840426077534417,0.8816983663483545,0.8817233062045352
21,0.872938205350801,0.12706179464919898,0.8823081058370246,0.872938205350801,0.8691986509375054
22,0.8955883513534844,0.10441164864651564,0.897042085935025,0.8955883513534844,0.8953749968415161
23,0.9016652197932287,0.09833478020677133,0.9032900851819838,0.9016652197932287,0.9017439950288693
24,0.9082156104490569,0.09178438955094315,0.909115626055962,0.9082156104490569,0.9080073863184119
25,0.9135821955646752,0.08641780443532476,0.9176804330543876,0.9135821955646752,0.914610465024985
26,0.9169757714466104,0.08302422855338965,0.9188404264214738,0.9169757714466104,0.9169338562285185
27,0.9212374713913661,0.07876252860863386,0.9218706665888278,0.9212374713913661,0.9212809604789897
28,0.9232104806250493,0.07678951937495071,0.9241490129497886,0.9232104806250493,0.9231593075012292
29,0.9268408176150265,0.07315918238497354,0.9279235076601522,0.9268408176150265,0.926868570762162
30,0.9275511009391524,0.07244889906084762,0.9287628010034172,0.9275511009391524,0.927639634713483
31,0.9313392786678242,0.06866072133217582,0.9322862479991407,0.9313392786678242,0.9313306051052227
32,0.9320495619919501,0.0679504380080499,0.9332260670821098,0.9320495619919501,0.9320854453732438
33,0.9317338805145609,0.06826611948543915,0.9326199571964906,0.9317338805145609,0.9315622805398203
34,0.932759845316076,0.06724015468392397,0.9337067696312213,0.932759845316076,0.9327630336617794
35,0.9326020045773814,0.0673979954226186,0.9335017154325773,0.9326020045773814,0.9326048959276673
36,0.9323652434693395,0.06763475653066053,0.9340509614251608,0.9323652434693395,0.9324054242177531
37,0.932759845316076,0.06724015468392397,0.9337151224086385,0.932759845316076,0.9327654231687634
38,0.933706889748244,0.066293110251756,0.9345507802289518,0.933706889748244,0.9336729159153514
39,0.934653934180412,0.06534606581958802,0.9355505869562302,0.934653934180412,0.9346925086327068
40,0.9345750138110647,0.06542498618893533,0.935571340953315,0.9345750138110647,0.9345586096002396
41,0.9342593323336753,0.06574066766632469,0.9351592918513632,0.9342593323336753,0.9342547914327639
42,0.9334701286402021,0.06652987135979793,0.9343990433261804,0.9334701286402021,0.933491675776873
43,0.9330755267934654,0.06692447320653461,0.9339395831013945,0.9330755267934654,0.9330364405159021
44,0.9337858101175913,0.06621418988240868,0.9347279581440113,0.9337858101175913,0.9337908436631714
45,0.9336279693788967,0.0663720306211033,0.9346029633706666,0.9336279693788967,0.9336212214637544
46,0.934180411964328,0.065819588035672,0.934929995336686,0.934180411964328,0.9341736115457294
47,0.9334701286402021,0.06652987135979793,0.9344299433661215,0.9334701286402021,0.9334694753109677
48,0.934180411964328,0.065819588035672,0.9349693684795705,0.934180411964328,0.9341862702821874
49,0.9343382527030226,0.06566174729697738,0.9352944094539365,0.9343382527030226,0.9343431448603993
50,0.9340225712256334,0.06597742877436663,0.934896275469317,0.9340225712256334,0.9340495229522251
51,0.9338647304869386,0.06613526951306137,0.9347840787716554,0.9338647304869386,0.9338660372585541
52,0.934180411964328,0.065819588035672,0.9352062565607464,0.934180411964328,0.9342506155552077
