Train_Percentage,Accuracy,TER,Precision,Recall,F1
10,0.8587325388682819,0.14126746113171806,0.8578100559924341,0.8587325388682819,0.8567051942145645
20,0.9064004419540683,0.09359955804593167,0.907188662571041,0.9064004419540683,0.9058472487433586
30,0.928419225001973,0.07158077499802695,0.9295426411335281,0.928419225001973,0.9283007443987579
40,0.9435719359166601,0.05642806408333989,0.9439029470855768,0.9435719359166601,0.9434355311587558
50,0.9565937968589693,0.04340620314103072,0.9568716780231797,0.9565937968589693,0.9565770364602036
60,0.9651171967484807,0.03488280325151927,0.9652445771815693,0.9651171967484807,0.9650598894216359
70,0.9758503669797175,0.0241496330202825,0.9759436146034698,0.9758503669797175,0.9758436787245602
80,0.983189961329019,0.016810038670980965,0.9832397368070109,0.983189961329019,0.9831715573130662
90,0.9893457501381107,0.010654249861889342,0.9893838202759972,0.9893457501381107,0.9893280042411567
100,0.9981848315050115,0.0018151684949885283,0.9981932475459865,0.9981848315050115,0.9981602476171235
